name	domain	earliest_own_aim	agent_id	notes
Royal Institution of Chartered Surveyors	professions / guilds	no	e45ce6f3-c599-4037-9d49-84ce0755f66e	1868/1881 objects unread
Saddlers’ Company	professions / guilds	yes	87cd0521-5ae3-4a9b-ae52-005c27749dce	1362 petition; 1395 charter
Salters’ Company	professions / guilds	no	955b04fe-eaee-456c-8a0a-f33e4c4dd272	1394 licence unread
Scriveners’ Company	professions / guilds	yes	cc75a642-f575-421d-9ef1-83259b61bd1e	1373 petition; lawful rule of craft
Shipwrights’ Company	professions / guilds	yes	afceb332-fede-4a53-9aaa-f209242c92ac	1456 ordinances; St Simon and St Jude
Shrewsbury Drapers Company	professions / guilds	no	d6010a4c-6399-4b93-99d5-57808feddfd9	1462 charter unread
Skinners’ Company	professions / guilds	yes	0c9a1acb-c612-4368-9b92-057014ee2326	1327 patent; fur ordinance
Society of Engineers	professions / guilds	no	40bfbde4-f020-4074-9924-2b22fe768bcf	1854 Times notice unread
Society of Merchant Venturers, Bristol	professions / guilds	yes	caedbc13-7879-4e3f-9d7d-425ca363feb5	1552 patent; overseas trade remedy
Spectacle Makers’ Company	professions / guilds	yes	91213785-651e-41c4-9c9e-3b50c9a846da	1629 charter; corporate name
Stationers’ Company	professions / guilds	yes	4c805f74-c790-4eea-88cc-b0d4ba0c8f34	1403 petition; good rule of trades
Tallow Chandlers’ Company	professions / guilds	no	fcb58f3b-bd5d-484e-9da1-c6837cfa8725	1462 patent; own petition unread
Tin Plate Workers alias Wire Workers	professions / guilds	no	7beda083-3630-48da-b91f-61607c847ba3	1670 charter unread
Trades House of Glasgow	professions / guilds	yes	b45bda88-07fd-439e-9a87-8cd067390789	1605 Letter of Guildry; crafts weill
Turners’ Company	professions / guilds	yes	0519b9c2-829c-4b63-a214-11330d455eeb	1435/1479 petitions; search of measures
Tylers and Bricklayers’ Company	professions / guilds	yes	62cd6f98-2fd9-45e7-86ae-9a8c19d2604f	1568 charter; 1570 ordinances
Upholders’ Company	professions / guilds	yes	66b1dc0e-e205-45a7-99cd-bfb30cdfd919	1360/1 enrollment; good wares
Vintners’ Company	professions / guilds	yes	7af6f774-301f-49c0-ae31-676ee4bf7f36	1364 petition; 1370 articles
Watermen and Lightermen of the Thames	professions / guilds	yes	34bed79c-4726-4b75-8f63-3d0243cbc256	1555 Act; order and skill
Wax Chandlers’ Company	professions / guilds	yes	bf909f1a-675b-4173-ade2-36b438766d23	1371 petition; unadulterated wax
Weavers, Fullers and Shearmen of Exeter	professions / guilds	yes	c9de65ba-a846-4652-8121-ba9488be7233	1620 charter; succeeding in trades
Weavers’ Company	professions / guilds	no	1d1699a6-7ae5-4337-abee-df34c2169ef9	1155 charter; Crown grant not own aims
Wheelwrights’ Company	professions / guilds	no	39340d60-2a84-46f9-9461-4a1b8c1e45fd	1670 charter unread
Woolmen’s Company	professions / guilds	no	19c241d2-6867-4293-b6fd-5012cf257a22	1522 incorporation; own aims unread
Worcester Clothiers’ Company	professions / guilds	yes	ab51d4d1-78af-48d5-8f5a-0b65c7752c19	1522 ordinances; 1590 charter
Worshipful Company of Parish Clerks	professions / guilds	yes	11b1030b-8c23-41d1-9b23-61093593f992	1442 patent; St Nicholas fraternity
York Cordwainers	professions / guilds	yes	a876f64c-0724-4598-aaa6-e6eba285094d	c.1393–95 ordinances; craft light
York Merchant Taylors	professions / guilds	yes	1c813550-7fb3-45fc-a950-86e05b6c67b9	1386/87 ordinances; honour of God
American Anti-Slavery Society	reform movements	yes	dd2c890a-5f4f-49fb-88f7-a7fdaf9fb826	1833 constitution; Declaration of Sentiments
American Colonization Society	reform movements	yes	c1c49bba-7558-4ef3-9e62-470c8aa46220	1816 constitution; colonize free people of color
American Equal Rights Association	reform movements	yes	4e76aa41-b4a1-40f4-bbef-85316066f6d1	1866 constitution; equal rights suffrage
American Peace Society	reform movements	yes	5a219f6f-61d9-438b-bec1-5eecffd8b4c6	1828 constitution; evils of war
American Society for the Prevention of Cruelty to Animals	reform movements	yes	c630c45d-f4db-4676-8fb4-0a0859a421a5	1866 constitution; prevent cruelty to animals
American Temperance Society	reform movements	yes	1a2f9ed1-fd5f-4db6-829c-0fe6a94093f0	1826 resolutions; intemperate use / abstinence
American Temperance Union	reform movements	yes	064bbcd5-6d39-4e16-ab68-3300c14dca53	1836 Saratoga; beverage abstinence
American Woman Suffrage Association	reform movements	yes	2af98596-c50e-4ea8-ab03-9f4dcf4924e2	1869 constitution; concentrate woman suffrage
American and Foreign Anti-Slavery Society	reform movements	yes	39e506c0-3e67-4e17-9e6c-ae983f88c5ec	1840 address; extinction of slavery
Anti-Corn Law League	reform movements	yes	81b05426-b1a3-4b3d-b03a-153424347516	1839 Association object; total repeal
Anti-Saloon League of America	reform movements	yes	12f2909f-72a8-4c86-879c-c58726c465e2	1893 Ohio constitution; against the saloon
Anti-Slavery International / British and Foreign Anti-Slavery Society	reform movements	yes	ae60b4a0-d4de-409d-8b39-6b166abad870	1839 Exeter Hall; extinction of slavery
Congressional Union / National Woman’s Party	reform movements	yes	3adbf826-d300-4173-aff7-9fe2db3dbe8a	1913 Suffragist; federal amendment
Howard League for Penal Reform / Howard Association	reform movements	yes	98d20111-df65-4d6c-acc2-ad72940b14ba	1867 report; penal treatment
Massachusetts Peace Society	reform movements	yes	1f96a57a-d557-4cee-8f19-5482195686ea	1815 constitution; spirit of peace
Movendi International / Independent Order of Good Templars	reform movements	no	a81d73b6-947a-4496-8959-5502c147ca1c	1852 Independent Order; 1851–52 aims unread
National American Woman Suffrage Association	reform movements	yes	f16bc9bc-7fed-44b7-9dd9-fd7a50c3ab0e	1890 Purpose vs D.C. certificate
National Woman Suffrage Association	reform movements	yes	85a97271-00db-4253-aa48-7d1f250fcc5c	1869 constitution; ballot on equal terms
New York Female Moral Reform Society / American Female Guardian Society	reform movements	yes	67394782-f329-4074-b98d-18b0d441e3e8	1834 constitution; prevent licentiousness
New York Manumission Society	reform movements	yes	7997e917-a9cc-46a4-ba55-34a05ba85707	1785 extracts; manumission and protection
Pennsylvania Abolition Society	reform movements	yes	9e9f3c1a-8048-4b83-85ee-b5dd36879b57	1787 constitution; abolition and relief
Philadelphia Female Anti-Slavery Society	reform movements	yes	365a566b-72a6-4864-a768-9a96c8131ecd	1833 constitution; immediate abolition
Providence Society for Abolishing the Slave Trade	reform movements	yes	96baee7e-1e48-4927-9716-06bdfb3d12eb	1789 constitution; suppress slave-trade
Royal Society for the Prevention of Cruelty to Animals	reform movements	yes	26ed99f5-3d01-4d29-a5b0-2c721dadce44	1824 minutes; prevent cruelty to animals
Society for Effecting the Abolition of the Slave Trade	reform movements	yes	bde3367f-8d98-44a3-9778-89eb66d8b091	1787 minute; abolish slave trade
Washingtonian Temperance Society	reform movements	yes	e11efe6b-1fad-4f96-a0c4-37dc9ef75114	1840 pledge; total abstinence
Woman’s Christian Temperance Union	reform movements	yes	1b46db3b-292d-4728-b841-7d4f79fc3214	1874 preamble; extinguish intemperance
Arya Samaj	religions	yes	b9fe2573-4532-47d3-94b3-94a02f7d992a	1875 rules; Vedas and welfare of all
Baháʼí community	religions	yes	686c1347-8c2c-4c58-8801-64ee1c0ad97a	Hidden Words / Íqán; covenant and messengers
Brahmo Samaj	religions	yes	c1bac531-f910-4633-b63a-cbe434c290d4	1830 Trust Deed; worship Eternal Being
Carmelite Order	religions	yes	7a3f4e8d-3533-401f-8205-1f3f7a323c91	Albert’s Rule; allegiance to Christ
Carthusian Order	religions	yes	19ea63b0-1405-43ad-a6df-58fc9e9df064	Bruno / Guigo; solitude and silence
Church of Jesus Christ of Latter-day Saints	religions	yes	a06ddf19-10ef-4747-89e0-3fdaa79a944f	1830 D&C; build up the church
Cistercian Order	religions	yes	1718a200-8e77-4994-a68a-27257679ded3	1098 Hugh / Carta; Rule of Benedict
Congregation of the Mission / Vincentians	religions	yes	64fd9688-8246-41b3-a412-4b800a71d667	1625 contract; rural poor evangelization
Dominican Order / Order of Preachers	religions	yes	1849dac6-2167-4a02-b823-3c493cd5cd70	Primitive Constitutions; preaching
Franciscan Order / Friars Minor	religions	yes	7d02c337-9826-4ff9-855f-8d9ea5d3c45c	1223 Rule; Gospel in poverty
Knights Hospitaller / Order of St John	religions	yes	ba95eabb-c532-40db-bb38-f70ac566a650	1113 bull; pilgrims and the poor
Knights Templar	religions	yes	f866e461-5c16-4aad-a13a-dd5780595480	Troyes Rule; defend Church and Holy Land
Methodist Episcopal Church	religions	yes	5970179a-228c-4db8-91cf-688e023ff2f5	1784 Discipline; reform the Continent
Methodist United Societies	religions	yes	d50b537e-2bd4-4473-a40c-8abe7804acfb	1743 General Rules; power of godliness
Moravian Church / Unitas Fratrum	religions	yes	793d189a-823c-4c78-b86b-c5514a20ae46	1464 Rychnov agreement; faith and love
Order of Friars Minor Capuchin	religions	yes	f08682e1-2b79-4cbf-9eff-60344047916c	1528 Religionis zelus; eremitical Rule
Order of Saint Augustine / Augustinian Hermits	religions	yes	021c090e-cc8c-4ee2-8668-9abdf18be9cd	1256 Licet; one order and poverty
Order of Saint Benedict / Benedictines	religions	yes	8243f6e5-1878-4a75-8056-29cdeba65b6c	c.530 Rule; school of the Lord’s service
Poor Clares / Order of St Clare	religions	yes	af98408d-b66e-47d0-bbc9-552a45e7cbff	1228 Privilege of Poverty; 1253 Form of Life
Premonstratensian Order / Norbertines	religions	yes	75c671f9-c9a1-4bb8-8c8e-ef4d52fb1842	1121 profession; apostolic life under Augustine
Religious Society of Friends	religions	yes	ab55d29d-9b1d-402e-b15f-11e582f7abe0	1653 Fox tract; inward Light of Christ
Religious Society of Friends / Quakers	religions	yes	26ec0719-9390-4ba2-97c5-fc79f6f5ba0b	1656 Fox/Balby; inward Light
Salvation Army / Christian Mission	religions	yes	c3ebc480-0671-45b1-8155-55eb9238ae0e	1865 Booth letter; bring souls to Christ
Servite Order	religions	yes	5b46e0e3-d0a4-4f95-8919-b1e947230e71	1251 poverty chapter; Servants of Saint Mary
Seventh-day Adventist Church / General Conference	religions	yes	668a5b5b-26a8-4b45-8fbe-250e527e5352	1863 constitution; present truth
Society of Jesus	religions	yes	558e66ea-414f-47d0-9b43-b6af4e8f1cdd	1540 Formula; progress of souls
Society of Jesus / Jesuits	religions	yes	1ae4ee94-0da7-4b84-90fe-5365fa972643	1540 Formula; progress of souls
Tenrikyo	religions	yes	efe6f33e-e162-463d-9406-bd1af9abf380	1866 Mikagura-uta / Ofudesaki; save all
Académie des Jeux floraux	scholarly disciplines	yes	a7ff50fa-86cd-4572-a5aa-6231d634e5d1	1323 circular; raise poetic knowledge
Académie des Jeux floraux / Consistori del Gay Saber	scholarly disciplines	yes	6358c29c-e016-46cb-b261-87476f24334a	1323 circular; raise poetic knowledge
Académie française	scholarly disciplines	yes	c9f235ac-5c52-4c22-bc68-4aa48ea87da8	1635 letters and statutes; rules for French
Académie française, original/restored body	scholarly disciplines	yes	f9d5803f-d1ad-47b3-82ad-ec8bcfab9276	1635 letters and statutes; rules for French
Académie royale des sciences, original body	scholarly disciplines	no	587847d8-4553-4821-9e76-f419a4c9dc00	1666 minutes; no founding aim clause
Accademia dei Lincei	scholarly disciplines	yes	9c180752-33ca-4279-a9ea-c3f142c1bc67	1603 minutes / Lynceographum; knowledge and wisdom
Accademia dei Lincei, original body	scholarly disciplines	yes	6d3a687a-f838-4822-bfe8-1f961bb08e8e	1603 minutes / Lynceographum; knowledge and wisdom
Accademia della Crusca	scholarly disciplines	yes	3850bae4-8d43-4a41-82a2-6a5fc4018f98	1584 Stacciata; sift language
American Academy of Arts and Sciences	scholarly disciplines	yes	783ff77c-603e-490a-9576-76073de0a796	1780 act; cultivate arts and sciences
American Philosophical Society	scholarly disciplines	yes	6384faae-d983-4388-8d56-b3318e62fef6	1768 treaty / 1771 preface; useful knowledge
American Society for Premodern Asia, formerly American Oriental Society	scholarly disciplines	yes	52438bd9-5d00-40df-9467-649c21b3cb0a	1843 act; Asiatic African Polynesian languages
Berlin Society/Prussian Academy of Sciences	scholarly disciplines	yes	1cb5ebb6-2b8c-4020-8678-2aab00e04713	1700 Stiftungsbrief; cultura scientiarum
British Association for the Advancement of Science	scholarly disciplines	yes	261c270b-1cec-4f74-8e66-25ea7d3c7a92	1831 York objects; impulse to scientific inquiry
Chemical Society of London	scholarly disciplines	yes	56a41ea8-fb05-4a44-ad03-eaf367190666	1841 objects; advancement of Chemistry
French Academy of Sciences	scholarly disciplines	yes	91356a38-b746-47ba-9211-09e5b5e55429	1666 Huygens–Colbert memo; Baconian natural history
Geological Society of London	scholarly disciplines	yes	fc39b7e2-8c7a-44a5-b468-24852ad71ad6	1807/1808 objects; nomenclature and new facts
Linnean Society of London	scholarly disciplines	yes	78ccf5ab-a589-4fbb-9aa6-a3cdc6cb56c8	1788 Smith discourse; cultivate natural history
Royal Astronomical Society	scholarly disciplines	yes	130805b7-6813-4288-9704-3baead5b7684	1820 Address; encouragement of Astronomy
Royal Dublin Society	scholarly disciplines	yes	ff431eb9-bf76-40a0-a9ed-f4a0089d7e9c	1731 minutes; husbandry and useful arts
Royal Geographical Society	scholarly disciplines	yes	81125d27-3e21-48aa-8b94-2e81166f3be1	1830 objects; promotion and diffusion of geography
Royal Historical Society	scholarly disciplines	yes	19170b84-0a53-4e7a-83d5-122bc394590f	1868 objects; historical biographical ethnological
Royal Irish Academy	scholarly disciplines	yes	32c10efe-35b6-4aa2-bab8-a3f0ba301d05	1786 charter; science polite literature antiquities
Royal Society	scholarly disciplines	yes	a6b646a1-bd44-4120-9360-4736653a3549	1660 minutes; experimental philosophy
Royal Society of Antiquaries of Ireland	scholarly disciplines	yes	4645f413-04e3-4ed8-8098-3aa0bed46567	1849 Kilkenny resolution; local archaeological society
Royal Society of Edinburgh	scholarly disciplines	yes	110eff8e-df39-4562-94e0-e2d3b6ed8795	1783 charter; letters and useful knowledge
Royal Society of London	scholarly disciplines	yes	7fd3735e-269d-4361-a170-25d41c38a88d	1660 minutes / 1662 charter; experimental philosophy
Royal Statistical Society	scholarly disciplines	yes	8064fc1e-ebb0-438b-904a-21cfead27f81	1834 resolution; facts illustrating society
Society of Antiquaries of London	scholarly disciplines	yes	55192dcc-d22f-4815-b4b1-dacb1e139145	1707 minutes / 1751 charter; antiquities
Society of Antiquaries of Scotland	scholarly disciplines	yes	518ba374-3392-4d6f-9002-72801b2d2d82	1780 statutes / 1783 charter; antiquities and history
Sodalitas Litterarum Vistulana	scholarly disciplines	no	e4e4eb7b-19df-4e86-b724-8c8b606f2c91	no founding aim text
Austrian Empire	states / administrations	yes	89ad919b-bb11-455a-9af1-9d0389803eff	1804 patent; hereditary imperial rank
Belgium	states / administrations	yes	a8cc8ecf-fa29-42a3-8547-dc4443acd6af	1830 arrêté / 1831 constitution; independent state
Board of Admiralty	states / administrations	no	ff3f8ac5-b20e-4147-8681-536d575caf48	1628 commission not quoted
Board of Trade and Plantations	states / administrations	yes	6bcda7fd-e434-4a9c-839b-c716ea954a0e	1696 commission; trade and plantations
British Foreign Office	states / administrations	no	153e8880-bf60-4b62-ab69-b958c29b3a21	1782 office grant; no departmental aims
British Home Office	states / administrations	no	48b000e1-a77b-4e81-b71d-be3670f71ce3	1782 split; no departmental aims
British Privy Council	states / administrations	yes	3687afd8-6166-474b-911a-c3ee7d26544e	1257/1307 oaths; counsel and justice
Colonial Office (separate department)	states / administrations	yes	fc1aea96-b195-474a-9885-af8c2616430d	1854 split; residual colonial functions
Conseil d’État (France)	states / administrations	yes	a9a2b2c7-c98b-45a7-aac9-c55ac98c3607	1799 constitution; draft laws and administrative difficulties
Council of the Indies	states / administrations	yes	8c3b68a8-e796-4410-b450-cec5a837e839	1542 New Laws; Indies government and Indians
Danish Secret Archive (Gehejmearkivet)	states / administrations	yes	9c74d286-43be-4daa-b9fd-7a6017214abd	1664 bestalling; register and royal custody
General Land Office	states / administrations	yes	61213fb0-94f3-467e-86e9-3c270707a713	1812 statute; public lands
German Empire	states / administrations	yes	0c4480ce-31d3-4b5a-a874-77ab30d761c3	1871 constitution; federation protection and welfare
Kingdom of Italy	states / administrations	yes	3b800bd1-e1db-4e34-ba67-4386c4c86747	1861 speeches; national monarchy / title law
Kingdom of Norway	states / administrations	yes	d7e1e841-1ed7-453c-aa83-841a76c991e3	1814 constitution; free independent hereditary monarchy
Kingdom of the Netherlands	states / administrations	yes	db72f71f-9fe9-4342-b286-833f01dac4ea	1815 address / Grondwet; union and welfare
Swedish National Archives (Riksarkivet)	states / administrations	yes	5d209ae5-0ffc-4695-add1-d716446f35e2	1618 kansliordning; keep and retrieve realm records
Swiss federal state	states / administrations	yes	64428fa1-130a-42bd-ae83-18f89b5e29ef	1848 constitution; independence, order, liberty, welfare
United States Department of State	states / administrations	yes	089dbb2a-9582-4d35-a283-08449936379f	1789 acts; foreign affairs and custody of laws
United States Department of the Treasury	states / administrations	yes	1844b199-f376-4599-811f-ed2e3aaea360	1789 act; revenue, public credit, and accounts
United States Post Office Department	states / administrations	yes	e8595974-88c6-42a2-84c0-f7ddcb4ee7a3	1792 act; general post-office and carrying the mail
United States federal government	states / administrations	yes	de184948-f324-408b-a6e1-bab65cc102f6	1787 preamble; union, justice, defence, liberty
